,City Name,City Number,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
340,Neubrandenburg,2866135,53.56,13.26,286.26,287.04,87,14,0.89
341,Amnat Charoen,1621060,15.86,104.63,295.8,295.8,78,96,5.53
342,Ngunguru,2186111,-35.62,174.5,292.59,292.59,54,57,3.13
343,Cockburn Town,3576994,21.46,-71.14,302.4,302.4,69,95,1.44
344,Khilok,2022463,51.36,110.46,281.5,281.5,78,39,0.57
345,Nuevo Progreso,3520271,26.05,-97.95,303.35,305.37,66,40,4.1
346,Mao,3496831,19.55,-71.08,299.77,300.37,74,75,2.6
347,Wagar,4069458,31.44,-87.99,299.26,299.26,72,0,2.03
348,Mmabatho,975436,-25.85,25.61,287.15,287.15,33,79,3.1
349,Mineiros,3457147,-17.57,-52.55,296.2,296.2,69,66,2.59
350,Villaviciosa,3104707,43.48,-5.43,286.77,294.26,87,0,2.1
351,Sitka,4267710,37.17,-99.65,293.72,294.26,53,0,3.58
352,Cleveland,5150529,41.51,-81.69,297.89,300.37,41,1,2.1
353,Osoyoos,6094665,49.03,-119.47,288.98,293.15,93,90,2.6
354,Cururupu,3401148,-1.82,-44.87,296.1,296.1,93,15,1.21
355,Clyde River,5924351,70.47,-68.59,273.15,273.15,93,90,4.6
356,Faanui,4034551,-16.48,-151.75,300.1,300.1,79,0,8.47
357,Makakilo City,5850554,21.35,-158.09,303.27,304.15,58,90,4.1
358,Korem,332746,12.51,39.52,286.4,286.4,62,3,1.23
359,Auki,2339937,12.18,6.51,299.2,299.2,57,2,3.0
360,Lethem,3379316,3.38,-59.8,300.7,300.7,68,56,1.92
361,Florianopolis,3463237,-27.6,-48.55,286.12,290.37,63,20,5.7
362,Konstancin-Jeziorna,768216,52.08,21.12,282.44,284.82,100,10,1.82
363,Linxia,1803331,35.6,103.21,282.0,282.0,65,73,2.09
364,Malumfashi,2331005,11.79,7.62,297.8,297.8,57,2,2.97
365,Kudat,1736458,6.89,116.84,301.0,301.15,78,75,3.1
366,Husavik,5961417,50.56,-96.99,287.82,289.26,72,61,2.67
367,Cabra,2520645,37.47,-4.43,288.37,289.26,77,82,0.4
368,Fallon,5681948,46.84,-105.12,289.54,289.82,55,1,2.6
369,Walvis Bay,3359638,-22.95,14.51,285.97,286.48,81,0,1.5
370,Marktheidenfeld,2873301,49.85,9.61,287.3,289.26,87,75,2.1
